well_id,geology,n_test,rmse_m,mae_m,r2,nse
SJBP035-OW-A,Unknown,11,1.754,1.531,-1.0,-1.0
CHHAT057-OW,Granite,13,1.754,1.534,0.255,0.255
CHHAT074-OW,Granite,12,1.761,1.564,-1.0,-1.0
CHHAT039-OW,Granite,12,1.761,1.061,-0.281,-0.281
SGWL027-OW,Vindhyan,14,1.764,1.428,0.203,0.203
SGWL046-OW,Vindhyan,14,1.767,1.428,0.361,0.361
SIND146-OW,Basalt,14,1.767,1.171,0.577,0.577
SUJN059-OW,Basalt,14,1.769,1.448,0.753,0.753
SUJN087-OW,Basalt,14,1.773,1.225,0.491,0.491
CHHAT029-OW,Granite,10,1.774,1.485,0.073,0.073
SGWL052-OW,Vindhyan,14,1.775,1.611,-1.0,-1.0
SUJN051-OW,Basalt,14,1.777,1.488,0.777,0.777
SJBP071-OW-A,Granite,11,1.778,1.494,0.36,0.36
SJBPL012-PZ,Vindhyan,58,1.779,1.312,0.745,0.745
SUJN073-OW,Basalt,14,1.787,1.302,0.526,0.526
SUJN056-OW,Basalt,14,1.789,1.515,0.827,0.827
CHHAT052-OW,Granite,13,1.79,1.424,0.362,0.362
SGR104-OW,Basalt,14,1.791,1.517,0.745,0.745
TKM088-OW,Granite,14,1.796,1.524,0.324,0.324
BPL009-OW,Vindhyan,12,1.796,1.615,0.609,0.609
SUJN132-OW,Basalt,14,1.799,1.369,0.607,0.607
SJBPL002-PZ,Vindhyan,58,1.803,1.262,0.226,0.226
SJBP068-OW-A,Unknown,10,1.803,1.473,-0.182,-0.182
SIND142-OW,Basalt,14,1.809,1.467,0.835,0.835
TKM034-OW,Granite,13,1.812,1.499,0.418,0.418
SUJN047-OW,Basalt,13,1.813,1.23,0.766,0.766
SJBP015-OW,Vindhyan,13,1.814,1.395,0.449,0.449
SUJN081-OW,Basalt,14,1.819,1.352,0.74,0.74
CHHAT018-OW,Granite,13,1.821,1.602,-0.337,-0.337
BPL019-OW,Basalt,13,1.824,1.677,0.69,0.69
TKM040-OW,Granite,13,1.824,1.521,0.275,0.275
SJBP054-OW-A,Unknown,12,1.828,1.389,-0.394,-0.394
TKM099-OW,Granite,14,1.829,1.631,0.35,0.35
BPL012A-OW,Basalt,14,1.834,1.48,0.744,0.744
SGR042-OW,Vindhyan,14,1.835,1.385,0.669,0.669
SJBP082-OW-A,Unknown,12,1.841,1.483,-0.038,-0.038
SIND-035-NEW,Basalt,59,1.844,1.532,0.64,0.64
SUJN029-OW,Basalt,14,1.845,1.448,0.618,0.618
TKM047-OW,Granite,14,1.847,1.438,0.43,0.43
Tikm-23-PZ,Granite,50,1.853,1.346,0.432,0.432
SGWL072-OW,Vindhyan,14,1.875,1.643,-0.003,-0.003
SUJN071-OW,Basalt,14,1.877,1.439,0.802,0.802
SUJN096-OW,Basalt,14,1.877,1.218,0.61,0.61
BPL011A-OW,Basalt,14,1.88,1.539,0.353,0.353
SGUN057-OW,Basalt,14,1.882,1.634,0.692,0.692
BPL014A-OW,Basalt,14,1.882,1.466,0.704,0.704
SGWL049-OW,Vindhyan,14,1.884,1.603,0.449,0.449
SGR109-OW,Basalt,14,1.889,1.387,0.256,0.256
TKM018-OW,Granite,14,1.89,1.757,0.471,0.471
SIND152-OW,Basalt,14,1.895,1.646,0.449,0.449
SGWL023-OW,Granite,12,1.895,1.426,-0.721,-0.721
SGUN022-OW,Basalt,14,1.899,1.745,0.668,0.668
SGR067-OW,Basalt,14,1.902,1.506,0.808,0.808
SJBP058-OW-A,Basalt,13,1.903,1.488,-0.134,-0.134
SAGAR009-PZ,Basalt,61,1.904,1.245,0.682,0.682
TKM092-OW,Granite,13,1.905,1.48,0.431,0.431
SGWL018-OW,Granite,14,1.906,1.784,0.131,0.131
SJBP065-OW,Unknown,12,1.907,1.355,-0.177,-0.177
SUJN063-OW,Basalt,14,1.91,1.452,0.749,0.749
SGR122-OW,Basalt,12,1.915,1.608,0.579,0.579
SIND030-OW,Basalt,14,1.915,1.554,0.432,0.432
SIND104-OW,Basalt,13,1.917,1.38,0.143,0.143
TKM050-OW,Granite,14,1.923,1.474,0.261,0.261
CHHAT066-OW,Granite,12,1.924,1.521,0.017,0.017
SGUN030-OW,Basalt,14,1.935,1.69,0.667,0.667
CHHAT060-OW,Granite,13,1.937,1.542,0.34,0.34
SJBPL005-PZ,Unknown,59,1.943,1.463,0.722,0.722
SUJN125-OW,Basalt,14,1.944,1.332,0.718,0.718
SUJN108-OW,Basalt,14,1.946,1.368,-0.162,-0.162
TKM003-OW,Granite,14,1.947,1.41,0.023,0.023
SGR021-OW,Vindhyan,14,1.948,1.666,0.366,0.366
SUJN083-OW,Basalt,14,1.949,1.522,0.8,0.8
TKM041-OW,Granite,14,1.95,1.244,-0.061,-0.061
TKM025-OW,Granite,14,1.952,1.813,0.232,0.232
SUJN076-OW,Basalt,14,1.952,1.704,0.814,0.814
SIND156-OW,Basalt,14,1.952,1.701,0.302,0.302
TKM055-OW,Granite,14,1.957,1.625,0.431,0.431
SUJN001A-OW,Basalt,14,1.961,1.588,0.116,0.116
SGUN025-OW,Basalt,14,1.982,1.76,0.529,0.529
SUJN124-OW,Basalt,14,1.984,1.554,0.554,0.554
SUJN053-OW,Basalt,14,1.986,1.755,0.8,0.8
SUJN090-OW,Basalt,14,1.987,1.758,0.771,0.771
SUJN075-OW,Basalt,14,1.99,1.344,0.606,0.606
SIND014-OW,Basalt,14,1.999,1.559,0.472,0.472
SJBPL017-PZ,Unknown,58,2.009,1.499,0.373,0.373
SUJN122-OW,Basalt,14,2.012,1.384,0.466,0.466
SUJN055-OW,Basalt,14,2.012,1.37,0.624,0.624
SUJN101-OW,Basalt,14,2.014,1.284,0.619,0.619
BPL078-OW,Basalt,14,2.025,1.763,0.77,0.77
SUJN118-OW,Basalt,14,2.025,1.496,0.51,0.51
TKM036-OW,Granite,14,2.031,1.634,0.475,0.475
SIND041-OW,Basalt,14,2.032,1.776,0.487,0.487
TKM059-OW,Granite,14,2.035,1.533,-0.946,-0.946
SGWL037-OW,Vindhyan,14,2.035,1.658,0.129,0.129
SUJN129-OW,Basalt,14,2.038,1.396,0.416,0.416
SUJN-011-PZ,Basalt,62,2.043,1.592,0.821,0.821
SJBP023-OW,Vindhyan,12,2.043,1.797,-0.619,-0.619
TKM080-OW,Granite,13,2.055,1.6,0.138,0.138
SUJN079-OW,Basalt,14,2.063,1.596,0.764,0.764
SUJN026-OW,Basalt,14,2.064,1.665,0.287,0.287
TKM046-OW,Granite,14,2.064,1.728,0.407,0.407
SUJN133-OW,Basalt,14,2.065,1.581,0.7,0.7
CHHAT101-OW,Granite,13,2.076,1.809,-0.316,-0.316
SGR095-OW,Basalt,13,2.078,1.502,0.366,0.366
SJBPL023-PZ,Basalt,49,2.082,1.522,0.197,0.197
SGUN038-OW,Basalt,14,2.082,1.857,0.694,0.694
SGR034-OW,Basalt,14,2.083,1.186,0.277,0.277
SUJN035-OW,Basalt,14,2.085,1.683,0.733,0.733
SUJN103-OW,Basalt,14,2.09,1.842,0.8,0.8
SUJN-015-PZ,Basalt,62,2.093,1.776,0.806,0.806
CHHAT055-OW,Granite,13,2.093,1.792,0.278,0.278
SJBP055-OW,Unknown,12,2.096,1.493,-0.631,-0.631
CHHAT049-OW,Vindhyan,13,2.101,1.538,0.048,0.048
SIND151-OW,Basalt,14,2.101,1.503,0.441,0.441
TKM068-OW,Granite,14,2.102,1.905,0.091,0.091
TKM052-OW,Granite,13,2.103,1.813,-0.171,-0.171
TKM083-OW,Granite,12,2.105,1.637,-0.11,-0.11
SGUN045A-OW,Basalt,14,2.105,1.941,0.76,0.76
SUJN010-OW-A,Basalt,14,2.108,1.401,0.375,0.375
SUJN138-OW,Basalt,14,2.122,1.813,0.762,0.762
CHHAT092-OW,Granite,13,2.124,1.585,0.369,0.369
CHHAT099-OW,Granite,8,2.125,1.853,-0.962,-0.962
SUJN040-OW,Basalt,14,2.125,1.845,0.766,0.766
CHHAT032-OW,Granite,12,2.132,1.729,-0.005,-0.005
SUJN062-OW,Basalt,14,2.135,1.573,0.674,0.674
CHHAT076-OW,Granite,13,2.136,1.515,-0.039,-0.039
SUJN064-OW,Basalt,14,2.138,1.726,0.672,0.672
SUJN004-OW,Basalt,14,2.14,1.833,0.784,0.784
SUJN119-OW,Basalt,14,2.14,1.48,0.548,0.548
SUJN060-OW,Basalt,14,2.152,1.643,0.72,0.72
CHHAT014-OW,Granite,13,2.152,1.849,-1.0,-1.0
Chhat003-PZ,Granite,30,2.155,1.792,0.449,0.449
SUJN085-OW,Basalt,14,2.158,1.534,0.652,0.652
CHHAT051-OW,Granite,13,2.159,1.844,-0.019,-0.019
SUJN117-OW,Basalt,14,2.161,1.511,0.629,0.629
SGWL005-PZ,Vindhyan,57,2.166,1.635,0.482,0.482
SUJN066-OW,Basalt,14,2.173,1.738,0.657,0.657
CHHAT077-OW,Granite,13,2.174,1.316,0.06,0.06
SUJN128-OW,Basalt,14,2.176,1.746,0.722,0.722
SUJN034-OW,Basalt,14,2.176,1.877,0.704,0.704
SIND107-OW,Basalt,14,2.182,1.617,0.436,0.436
SIND139-OW,Basalt,14,2.186,1.888,0.68,0.68
SJBP062-OW,Basalt,13,2.195,1.469,-0.711,-0.711
SUJN006A-OW,Basalt,14,2.202,1.905,0.768,0.768
SJBP060-OW,Basalt,14,2.203,1.96,0.238,0.238
SUJN131-OW,Basalt,14,2.204,1.467,0.501,0.501
SJBP067-OW-A,Unknown,8,2.205,2.089,0.65,0.65
SGUN007-OW,Basalt,14,2.205,2.038,0.688,0.688
SUJN068-OW,Basalt,14,2.212,1.492,0.556,0.556
TKM096-OW,Granite,13,2.222,1.744,0.309,0.309
SUJN002-OW,Basalt,14,2.226,1.93,0.741,0.741
SUJN-003-PZ,Basalt,61,2.227,1.823,0.807,0.807
SGUN034-OW,Basalt,14,2.232,2.101,0.719,0.719
SAGAR-PDS-020-PZ,Vindhyan,61,2.238,2.044,-1.0,-1.0
SUJN091-OW,Basalt,14,2.247,1.859,0.742,0.742
SUJN-005-PZ,Basalt,59,2.249,1.746,0.848,0.848
SIND171-OW,Basalt,14,2.25,1.937,0.712,0.712
SUJN115-OW,Basalt,14,2.253,1.616,0.519,0.519
CHHAT067-OW,Granite,13,2.253,1.539,0.277,0.277
SIND075-OW,Basalt,14,2.257,1.481,-0.178,-0.178
TKM082-OW,Granite,13,2.258,1.689,0.265,0.265
CHHAT094-OW,Granite,13,2.26,1.992,-1.0,-1.0
SUJN052-OW,Basalt,14,2.268,1.961,0.785,0.785
SGUN026-OW,Basalt,14,2.275,2.029,0.629,0.629
CHHAT058-OW,Granite,13,2.278,1.575,0.174,0.174
SIND144-OW,Basalt,14,2.282,1.425,0.246,0.246
SIND021-OW,Basalt,13,2.285,1.55,0.252,0.252
SIND141-OW,Basalt,14,2.292,1.862,0.228,0.228
SIND158-OW,Basalt,14,2.292,1.949,0.345,0.345
SGUN031-OW,Basalt,13,2.294,1.814,0.186,0.186
SGUN047-OW,Basalt,14,2.3,1.995,0.729,0.729
SJBPL001-PZ,Basalt,58,2.302,1.659,0.059,0.059
Sag-PZ-04,Vindhyan,60,2.305,1.852,0.363,0.363
SIND101-OW,Basalt,14,2.31,2.068,0.531,0.531
SIND-PTW-21-NEW,Basalt,59,2.312,1.787,0.473,0.473
CHHAT030-OW,Granite,11,2.317,1.897,-0.003,-0.003
SJBPLO25-PZ,Granite,58,2.317,1.733,0.61,0.61
SJBPL008PZ-D,Unknown,54,2.32,1.803,0.318,0.318
SUJN116-OW,Basalt,14,2.326,1.896,0.679,0.679
TKM009-OW,Granite,13,2.331,2.002,0.166,0.166
SIND-008-PZ,Basalt,60,2.336,1.698,0.725,0.725
SIND166-OW,Basalt,14,2.336,1.616,0.647,0.647
SUJN041-OW,Basalt,14,2.339,2.013,0.794,0.794
CHHAT015-OW,Granite,13,2.343,1.923,0.236,0.236
SUJN-017-PZ,Basalt,61,2.344,1.95,0.832,0.832
SJBPL024-PZ,Granite,58,2.344,1.773,0.549,0.549
SGUN048A-OW,Basalt,14,2.346,2.144,0.71,0.71
CHHAT002-OW,Granite,11,2.351,1.769,-1.0,-1.0
SIND-040-PZ,Basalt,59,2.357,1.862,0.405,0.405
CHHAT053-OW,Granite,13,2.361,2.085,-0.739,-0.739
SUJN130-OW,Basalt,14,2.363,1.639,0.419,0.419
SIND119-OW,Basalt,14,2.373,1.915,0.553,0.553
SUJN107-OW,Basalt,14,2.376,1.782,0.507,0.507
TKM098-OW,Granite,14,2.377,1.8,-0.148,-0.148
SIND-020-PZ,Basalt,55,2.378,1.792,0.655,0.655
SUJN011-OW,Basalt,14,2.382,1.526,0.394,0.394
TKM037-OW,Granite,14,2.391,2.122,0.514,0.514
SUJN025-OW,Basalt,14,2.391,1.866,0.647,0.647
SGUN029-OW,Basalt,14,2.392,2.17,0.687,0.687
SUJN135-OW,Basalt,14,2.399,1.942,0.636,0.636
SGR083-OW,Basalt,13,2.406,1.967,0.257,0.257
SIND026-OW,Basalt,14,2.412,1.836,0.184,0.184
SIND-002-PZ,Basalt,59,2.417,1.796,0.563,0.563
SJBP056-OW-A,Unknown,11,2.42,2.072,-1.0,-1.0
SUJN036-OW,Basalt,14,2.424,1.851,0.535,0.535
SJBP069-OW,Unknown,13,2.428,2.114,0.25,0.25
SUJN065-OW,Basalt,14,2.428,1.942,0.67,0.67
SJBPL007-PZ,Unknown,59,2.44,1.809,0.462,0.462
CHHAT090-OW,Granite,12,2.441,2.038,-1.0,-1.0
CHHAT084-OW,Granite,13,2.443,1.982,0.225,0.225
SUJN084-OW,Basalt,14,2.448,1.925,0.622,0.622
SGUN049A-OW,Basalt,14,2.448,2.088,0.518,0.518
SJBP036-OW-A,Vindhyan,14,2.458,2.198,0.518,0.518
SUJN003-OW,Basalt,14,2.46,1.716,0.486,0.486
SUJN-004-PZ,Basalt,62,2.464,1.988,0.858,0.858
SGWL051-OW,Vindhyan,13,2.469,2.08,0.037,0.037
SIND147-OW,Basalt,14,2.481,2.208,0.206,0.206
SAGAR-PDS-017-PZ,Vindhyan,61,2.483,1.821,0.653,0.653
SUJN010-OW,Basalt,14,2.484,1.92,0.691,0.691
CHHAT080-OW,Granite,13,2.488,1.957,0.26,0.26
SIND163-OW,Basalt,14,2.49,1.734,0.508,0.508
SUJN048-OW,Basalt,14,2.497,1.943,0.596,0.596
SUJN019-OW,Basalt,14,2.507,2.053,0.705,0.705
SUJN114-OW,Basalt,14,2.509,1.846,0.583,0.583
SGR126-OW,Basalt,14,2.51,2.157,0.501,0.501
SIND129-OW,Basalt,14,2.511,1.973,0.443,0.443
SAGAR013-PZ,Basalt,61,2.514,1.903,0.792,0.792
SUJN014-OW,Basalt,14,2.518,2.067,0.705,0.705
SGR006-OW,Basalt,14,2.524,2.069,0.635,0.635
CHHAT042-OW,Vindhyan,13,2.527,1.684,0.125,0.125
SGUN018-OW,Basalt,14,2.535,2.379,0.732,0.732
SUJN127-OW,Basalt,14,2.545,1.993,0.633,0.633
SUJN102-OW,Basalt,14,2.556,1.861,0.312,0.312
SUJN113-OW,Basalt,14,2.558,1.938,0.696,0.696
SUJN088-OW,Basalt,14,2.561,1.882,0.642,0.642
SIND105-OW,Basalt,14,2.57,1.639,0.388,0.388
TKM021-OW,Granite,14,2.578,1.887,-0.185,-0.185
SIND-029-PZ,Basalt,58,2.587,1.963,0.568,0.568
SJBPL011-PZ,Basalt,58,2.595,1.86,0.413,0.413
SUJN022-OW,Basalt,13,2.618,2.048,0.445,0.445
Tikm-21-PZ,Granite,52,2.625,2.036,0.472,0.472
BPL-PZ-08,Basalt,52,2.632,1.628,0.623,0.623
SUJN070-OW,Basalt,14,2.633,2.234,0.633,0.633
SIND017-OW,Basalt,14,2.644,1.948,0.52,0.52
BPL042-OW,Basalt,14,2.645,2.397,0.698,0.698
CHHAT097-OW,Granite,13,2.65,2.376,-0.349,-0.349
SJBPL010-PZ,Basalt,59,2.653,1.937,0.275,0.275
SUJN110-OW,Basalt,14,2.67,2.329,0.569,0.569
CHHAT069-OW,Granite,11,2.672,1.963,-0.949,-0.949
SIND131-OW,Basalt,13,2.674,2.235,0.315,0.315
SIND-023-PZ,Basalt,59,2.681,2.017,0.706,0.706
SIND114-OW,Basalt,14,2.684,1.833,0.166,0.166
SIND025-OW,Basalt,14,2.695,1.655,0.331,0.331
SUJN-023-PZ,Basalt,61,2.697,2.029,0.631,0.631
SIND176-OW,Basalt,14,2.698,1.99,0.421,0.421
TKM100-OW,Granite,14,2.713,2.457,0.269,0.269
SIND174-OW,Basalt,14,2.714,2.005,0.481,0.481
SIND-005-PZ,Basalt,56,2.73,2.027,0.535,0.535
SUJN-014-PZ,Basalt,62,2.733,2.192,0.757,0.757
SGUN024-OW,Basalt,14,2.738,2.519,0.605,0.605
SUJN061-OW,Basalt,14,2.763,2.129,0.714,0.714
SIND-019-B-PZ,Basalt,57,2.769,2.115,0.709,0.709
SUJN-007-PZ,Basalt,60,2.788,2.236,0.814,0.814
SJBP026-OW-A,Vindhyan,12,2.803,2.023,0.181,0.181
SIND130-OW,Basalt,14,2.815,2.414,0.231,0.231
SIND172-OW,Basalt,14,2.821,2.248,0.611,0.611
SUJN-012-PZ,Basalt,61,2.826,2.212,0.839,0.839
CHHAT019-OW,Granite,13,2.842,2.299,-0.276,-0.276
SGWL066-OW,Vindhyan,14,2.851,2.496,-0.067,-0.067
SGWL054-OW,Vindhyan,14,2.859,2.388,0.389,0.389
SGWL047A-OW,Vindhyan,14,2.873,2.201,0.425,0.425
CHHAT087-OW,Granite,13,2.879,2.045,0.009,0.009
TKM081-OW,Granite,13,2.886,2.094,-0.087,-0.087
SIND149-OW,Basalt,13,2.894,2.268,-0.218,-0.218
SUJN093-OW,Basalt,14,2.901,2.32,0.58,0.58
SGWL001-PZ,Granite,7,2.903,2.353,-1.0,-1.0
SGUN023-OW,Basalt,6,2.924,2.522,-0.024,-0.024
SGWL048-OW,Vindhyan,13,2.931,2.585,0.293,0.293
SIND121-OW,Basalt,14,2.977,2.366,0.604,0.604
SIND060-OW,Basalt,14,2.982,2.328,0.209,0.209
BPL-PZ-04,Basalt,53,2.983,1.884,0.603,0.603
SIND177-OW,Basalt,14,2.987,2.518,0.412,0.412
SJBPL020-PZ,Vindhyan,59,2.993,2.252,0.121,0.121
SIND148-OW,Basalt,14,2.994,2.191,0.441,0.441
SGR090-OW,Vindhyan,13,2.999,2.278,0.359,0.359
BPL-PZ-10,Vindhyan,53,3.006,2.134,0.666,0.666
SIND-003-PZ,Basalt,57,3.026,2.541,0.389,0.389
CHHAT059-OW,Granite,13,3.027,2.613,0.3,0.3
SJBPL022-PZ,Vindhyan,58,3.029,2.251,0.421,0.421
SAGAR-PDS-018-PZ,Vindhyan,60,3.029,2.525,0.692,0.692
SUJN-009-PZ,Basalt,61,3.046,2.243,0.801,0.801
SUJN057-OW,Basalt,14,3.066,2.309,0.219,0.219
TKM062-OW,Granite,13,3.108,2.58,-0.029,-0.029
SGUN040A-OW,Basalt,13,3.115,2.038,-0.079,-0.079
SIND132-OW,Basalt,13,3.119,2.552,-0.056,-0.056
SGUN041-OW,Basalt,13,3.134,1.996,0.222,0.222
BPL-PZ-05,Basalt,53,3.137,2.35,0.736,0.736
SGWL004-PZ,Vindhyan,39,3.14,2.425,0.559,0.559
SIND109-OW,Basalt,14,3.145,2.577,0.488,0.488
SJBP007-OW,Basalt,12,3.145,2.614,-0.427,-0.427
SUJN-001-PZ,Basalt,62,3.166,2.558,0.799,0.799
SIND128-OW,Basalt,14,3.168,2.504,0.395,0.395
SUJN089-OW,Basalt,14,3.187,2.279,0.183,0.183
SIND-032-PZ,Basalt,58,3.194,2.422,0.652,0.652
TKM051-OW,Granite,14,3.211,2.758,-0.943,-0.943
SGWL003-PZ,Vindhyan,38,3.229,2.643,0.057,0.057
SUJN126-OW,Basalt,14,3.23,2.733,0.605,0.605
SAGAR002-PZ,Basalt,60,3.277,2.032,0.684,0.684
TKM074-OW,Granite,13,3.286,3.136,-0.143,-0.143
SGWL053-OW,Vindhyan,14,3.292,2.844,0.179,0.179
BPL-PZ-07,Basalt,50,3.294,2.951,-0.4,-0.4
SIND168-OW,Basalt,13,3.336,2.441,-0.233,-0.233
SGWL055-OW,Vindhyan,12,3.356,3.004,0.032,0.032
SGUN058-OW,Basalt,13,3.366,2.672,0.033,0.033
SIND125-OW,Basalt,14,3.406,2.953,0.724,0.724
SUJN-022-PZ,Basalt,61,3.464,2.53,0.794,0.794
SUJN134-OW,Basalt,13,3.469,2.516,0.109,0.109
Tikm012-PZ,Granite,22,3.484,2.878,0.215,0.215
SGUN042-OW,Basalt,13,3.498,2.639,0.163,0.163
SUJN-010-PZ,Basalt,61,3.513,2.618,0.76,0.76
SIND-013-PZ,Basalt,60,3.529,2.799,0.685,0.685
SIND-036-PZ,Basalt,59,3.53,2.7,0.565,0.565
SIND-016-PZ,Basalt,59,3.54,2.904,0.73,0.73
SJBPL021-PZ,Vindhyan,57,3.545,2.603,0.072,0.072
SJBPL016-PZ,Unknown,59,3.56,2.581,0.066,0.066
SIND118-OW,Basalt,14,3.562,2.908,0.392,0.392
SIND-004-C-PZ,Basalt,59,3.569,2.706,0.654,0.654
SIND-014-PZ,Basalt,59,3.584,2.676,0.695,0.695
SUJN104-OW,Basalt,14,3.638,2.989,0.644,0.644
SJBPL015-PZ,Granite,57,3.722,3.477,-1.0,-1.0
SIND-017-PZ,Basalt,54,3.79,2.763,0.681,0.681
SIND-011-PZ,Basalt,59,3.796,2.548,0.66,0.66
SGUN008-PZ,Basalt,40,3.811,2.863,0.019,0.019
SIND-039-B-PZ,Basalt,59,3.812,2.553,0.617,0.617
SAGAR012-PZ,Basalt,61,3.843,2.815,0.729,0.729
TKM013-OW,Granite,14,3.886,3.503,0.285,0.285
SIND123-OW,Basalt,14,3.915,3.325,0.516,0.516
SIND-019-A-PZ,Basalt,57,3.934,2.539,0.445,0.445
SIND140-OW,Basalt,14,4.015,3.485,0.157,0.157
SUJN008-OW,Basalt,13,4.035,3.046,0.037,0.037
SUJN111-OW,Basalt,14,4.035,3.355,0.524,0.524
SJBPL004-PZ,Unknown,59,4.036,3.03,0.181,0.181
SIND-009-PZ,Basalt,59,4.044,3.143,0.595,0.595
SGUN016-OW,Basalt,9,4.08,3.356,0.663,0.663
SIND-010-PZ,Basalt,58,4.267,3.007,0.577,0.577
SGUN007-PZ,Basalt,28,4.268,3.361,0.239,0.239
SUJN023-OW,Basalt,13,4.278,3.222,0.046,0.046
SIND-037-PZ,Basalt,59,4.314,2.983,0.678,0.678
SGUN006-PZ,Basalt,42,4.325,3.219,0.208,0.208
SIND-027-PZ,Basalt,37,4.343,3.118,0.195,0.195
SIND157-OW,Basalt,14,4.38,3.565,-0.03,-0.03
SJBP066-OW,Unknown,13,4.392,3.409,-0.283,-0.283
SGUN039-OW,Basalt,13,4.404,3.361,0.357,0.357
SIND162-OW,Basalt,14,4.432,3.748,0.66,0.66
SGUN002-PZ,Basalt,25,4.546,3.043,-0.194,-0.194
SIND-018-PZ,Basalt,16,4.566,3.328,-1.0,-1.0
SGWL073-OW,Vindhyan,7,4.598,3.371,-1.0,-1.0
SIND-06-PTW,Unknown,58,4.716,3.757,0.45,0.45
SIND-019-C-PZ,Basalt,43,4.76,3.777,0.156,0.156
SIND-033-PZ,Basalt,58,4.769,3.306,0.621,0.621
SIND126-OW,Basalt,14,4.793,3.885,0.275,0.275
SIND-PTW-07,Basalt,58,4.889,3.448,0.759,0.759
SIND136-OW,Basalt,14,4.891,4.137,0.42,0.42
TKM054-OW,Granite,14,4.902,3.961,-0.823,-0.823
SIND-025-PZ,Basalt,28,4.944,3.349,0.499,0.499
SGUN005-PZ,Basalt,42,5.031,4.294,-0.487,-0.487
SIND-028-PZ,Basalt,58,5.035,3.35,0.608,0.608
SGUN043-OW,Basalt,13,5.144,4.142,-0.052,-0.052
SGWL002-PZ,Unknown,52,5.212,4.24,0.535,0.535
SIND-022-PZ,Basalt,59,5.242,3.763,0.643,0.643
SIND102-OW,Basalt,14,5.293,4.492,0.419,0.419
SGUN017A-OW,Basalt,5,5.552,4.152,-0.582,-0.582
SGUN003-PZ,Basalt,28,5.564,3.903,-0.573,-0.573
SGWL007-PZ,Vindhyan,56,5.724,4.361,0.53,0.53
SIND165-OW,Basalt,14,5.858,4.842,0.343,0.343
SIND-015-PZ,Basalt,57,6.026,4.097,0.498,0.498
SJBP084-OW-A,Unknown,14,6.079,5.427,-1.0,-1.0
SIND-PTW-18,Basalt,9,6.084,5.282,-1.0,-1.0
SIND-PTW-01 NEW,Basalt,9,6.156,4.564,-0.162,-0.162
SJBPL018-PZ,Unknown,57,6.333,5.195,0.316,0.316
SJBPL014-PZ,Unknown,58,6.427,5.096,0.469,0.469
SAGAR-PDS-016-PZ,Vindhyan,61,6.532,4.635,0.752,0.752
SIND-004-B-PZ,Basalt,57,7.18,4.609,0.446,0.446
SIND-026-PZ,Basalt,54,7.751,5.562,0.527,0.527
SIND-031-PZ,Basalt,58,7.806,5.226,0.539,0.539
SAGAR015-PZ,Basalt,61,8.451,6.103,0.495,0.495
