well_id,geology,n_test,rmse_m,mae_m,r2,nse
SIND001-OW,Basalt,14,0.968,0.845,0.623,0.623
SGR018-OW,Vindhyan,14,0.969,0.821,0.693,0.693
SGUN002-OW,Basalt,13,0.97,0.833,0.8,0.8
SGWL041-OW,Vindhyan,14,0.971,0.942,-1.0,-1.0
BPL007A-OW,Basalt,13,0.974,0.782,0.624,0.624
BPL044-OW,Basalt,14,0.975,0.854,0.762,0.762
SGR023-OW,Vindhyan,14,0.975,0.631,0.604,0.604
CHHAT012-OW,Granite,13,0.979,0.745,0.027,0.027
SGR071-OW,Basalt,14,0.98,0.812,0.479,0.479
BPL081-OW,Basalt,14,0.988,0.786,0.769,0.769
CHHAT001-OW,Granite,13,0.989,0.804,0.23,0.23
SGWL078-OW,Vindhyan,14,0.997,0.823,-1.0,-1.0
BPL005-OW,Basalt,14,1.005,0.787,0.755,0.755
SGUN012-OW,Basalt,14,1.005,0.96,0.796,0.796
BPL100-OW,Basalt,14,1.007,0.779,0.807,0.807
CHHAT044-OW,Granite,13,1.012,0.694,0.285,0.285
CHHAT100-OW,Granite,13,1.013,0.78,0.479,0.479
CHHAT043-OW,Vindhyan,13,1.014,0.819,-0.476,-0.476
BPL029A-OW,Basalt,14,1.017,0.879,0.792,0.792
TKM090-OW,Granite,13,1.022,0.842,0.84,0.84
SGR013-OW,Basalt,14,1.022,0.913,0.791,0.791
SIND143-OW,Basalt,14,1.025,0.854,0.467,0.467
TKM058-OW,Granite,14,1.025,0.855,0.152,0.152
BPL025-OW,Basalt,14,1.027,0.931,0.811,0.811
BPL059-OW,Basalt,14,1.029,0.751,0.762,0.762
SJBP028-OW-A,Unknown,6,1.033,0.884,0.485,0.485
SGR086-OW,Basalt,14,1.037,0.856,0.876,0.876
SGR112-OW,Basalt,14,1.037,0.88,0.607,0.607
BPL049-OW,Basalt,14,1.042,0.847,0.733,0.733
CHHAT050-OW,Vindhyan,13,1.043,0.795,-0.031,-0.031
BPL021A-OW,Basalt,14,1.044,0.834,0.762,0.762
BPL013-OW,Basalt,14,1.047,0.856,0.819,0.819
BPL053A-0W,Basalt,14,1.048,0.932,0.811,0.811
SGWL083-OW,Vindhyan,14,1.05,0.835,0.332,0.332
SGR015-OW,Basalt,14,1.05,0.796,0.83,0.83
TKM038-OW,Granite,13,1.051,0.875,0.307,0.307
SGWL045-OW,Vindhyan,14,1.053,0.828,0.325,0.325
SGUN046-OW,Basalt,14,1.053,0.96,0.831,0.831
TKM043-OW,Granite,14,1.059,0.96,0.714,0.714
SGR082-OW,Vindhyan,13,1.067,0.778,0.149,0.149
SGUN008-OW,Basalt,14,1.067,0.973,0.755,0.755
SGUN015-OW,Basalt,14,1.072,0.82,0.814,0.814
TKM015-OW,Granite,14,1.075,0.843,0.405,0.405
BPL001-OW,Basalt,14,1.08,0.839,0.672,0.672
SGR052-OW,Basalt,14,1.085,0.755,0.874,0.874
SGUN006A-OW,Basalt,14,1.092,0.912,0.83,0.83
SJBP057-OW,Basalt,13,1.092,0.759,-1.0,-1.0
TKM031-OW,Granite,14,1.097,0.861,0.318,0.318
TKM067-OW,Granite,13,1.1,0.882,-0.125,-0.125
BPL030-OW,Basalt,14,1.103,0.942,0.633,0.633
BPL087-OW,Basalt,14,1.109,0.972,0.749,0.749
CHHATO31-OW,Granite,12,1.11,0.826,-0.046,-0.046
SGR094-OW,Basalt,14,1.113,0.864,0.398,0.398
SGUN052-OW,Basalt,14,1.114,1.02,0.815,0.815
SGUN054-OW,Basalt,14,1.122,0.916,0.878,0.878
BPL003-OW,Basalt,14,1.123,0.84,0.643,0.643
SGR062-OW,Vindhyan,14,1.124,1.031,0.853,0.853
SGR009-OW,Vindhyan,14,1.125,1.05,0.835,0.835
SGR076-OW,Basalt,14,1.128,0.851,0.156,0.156
SGUN001-OW,Basalt,14,1.128,1.039,0.831,0.831
SJBP061-OW-B,Unknown,13,1.136,0.943,-0.088,-0.088
SGR100-OW,Vindhyan,14,1.138,0.758,0.402,0.402
SGUN055-OW,Basalt,14,1.138,1.042,0.787,0.787
Chhat002-PZ,Unknown,21,1.138,0.944,0.646,0.646
SGR026-OW,Vindhyan,14,1.146,0.906,0.788,0.788
SGR053-OW,Vindhyan,14,1.149,0.998,0.602,0.602
SGUN020A-OW,Basalt,14,1.151,1.039,0.823,0.823
BPL008A-OW,Basalt,13,1.152,0.935,0.75,0.75
SGR002-OW,Unknown,14,1.152,0.972,0.488,0.488
BPL034-OW,Basalt,14,1.157,0.949,0.712,0.712
SGWL087-OW,Vindhyan,14,1.157,0.991,0.182,0.182
BPL037-OW,Basalt,14,1.159,0.998,0.694,0.694
BPL-PZ-11,Basalt,50,1.16,0.932,0.706,0.706
BPL065A-OW,Basalt,14,1.161,1.067,0.79,0.79
SJBP001-OW-B,Granite,13,1.164,1.041,-0.958,-0.958
CHHAT062-OW,Granite,13,1.165,0.782,-0.483,-0.483
TKM023-OW,Granite,14,1.165,1.008,0.163,0.163
SGR092-OW,Basalt,14,1.168,0.807,0.305,0.305
SJBP003-OW,Basalt,13,1.169,0.995,0.543,0.543
SGWL068-OW,Vindhyan,14,1.17,1.027,0.385,0.385
CHHAT011-OW,Granite,13,1.171,0.926,-1.0,-1.0
SGR10A-OW,Basalt,13,1.173,0.797,0.259,0.259
SJBP085-OW,Unknown,14,1.178,0.963,-0.042,-0.042
BPL024A-OW,Basalt,14,1.184,0.949,0.777,0.777
SJBP012-OW-A,Basalt,14,1.185,0.806,0.441,0.441
SIND070-OW,Basalt,14,1.188,0.994,0.13,0.13
SGUN051-OW,Basalt,14,1.19,1.094,0.69,0.69
SGUN019-OW,Basalt,14,1.191,1.042,0.749,0.749
Tikm005-PZ,Granite,16,1.198,1.095,0.455,0.455
SJBP005-OW-A,Basalt,14,1.201,0.98,0.76,0.76
TKM044-OW,Granite,13,1.204,0.986,0.36,0.36
BPL094-OW,Basalt,14,1.207,1.042,0.813,0.813
SGR056-OW,Basalt,14,1.21,0.93,0.914,0.914
SGR011-OW,Basalt,14,1.216,1.152,0.891,0.891
SIND160OW,Basalt,14,1.217,1.032,0.301,0.301
CHHAT046-OW,Vindhyan,12,1.221,1.059,0.003,0.003
SGUN050-OW,Basalt,14,1.223,1.106,0.775,0.775
SJBPL003-PZ,Unknown,57,1.229,0.899,0.648,0.648
SGR121-OW,Basalt,13,1.23,0.995,0.433,0.433
TKM039-OW,Granite,13,1.231,1.042,0.577,0.577
Chhat001-PZ,Basalt,55,1.236,0.894,0.458,0.458
SJBP017-OW-A,Granite,14,1.236,0.997,0.358,0.358
BPL084-OW,Basalt,14,1.249,1.06,0.759,0.759
CHHAT089-OW,Granite,13,1.254,0.927,0.07,0.07
SGWL084-OW,Vindhyan,14,1.254,0.965,0.352,0.352
SIND027-OW,Basalt,14,1.255,0.875,0.587,0.587
TKM032-0W,Granite,14,1.257,0.887,0.292,0.292
CHHAT095-OW,Granite,13,1.259,1.059,-0.511,-0.511
CHHAT078-OW,Granite,13,1.259,1.053,-0.314,-0.314
SGUN033-OW,Basalt,14,1.268,1.166,0.769,0.769
BPL051-OW,Basalt,14,1.27,1.096,0.78,0.78
SGR016-OW,Basalt,14,1.273,1.094,0.856,0.856
BPL068A-OW,Basalt,14,1.276,1.115,0.812,0.812
BPL080-OW,Basalt,14,1.277,1.102,0.562,0.562
SUJN121-OW,Basalt,14,1.278,1.035,0.161,0.161
Tikmo19-PZ,Granite,24,1.281,0.95,0.502,0.502
SJBP008-OW,Vindhyan,14,1.281,1.052,0.043,0.043
TKM060-OW,Granite,14,1.281,1.098,0.611,0.611
CHHAT038-OW,Vindhyan,12,1.292,1.064,-0.946,-0.946
BPL006A-OW,Basalt,14,1.294,1.115,0.713,0.713
BPL023-OW,Basalt,14,1.294,1.135,0.727,0.727
TKM091-OW,Granite,14,1.297,1.004,0.012,0.012
BPL015-OW,Basalt,14,1.299,1.146,0.689,0.689
BPL022-OW,Basalt,14,1.308,1.134,0.792,0.792
TKM057-OW,Granite,14,1.31,1.114,0.597,0.597
CHHAT093-OW,Granite,13,1.311,1.015,-0.185,-0.185
SGUN010-OW,Basalt,14,1.313,1.105,0.802,0.802
Panna-PZ-03,Vindhyan,61,1.317,1.022,0.575,0.575
BPL098-OW,Basalt,14,1.32,1.06,0.768,0.768
CHHAT047-OW,Vindhyan,13,1.321,1.015,-0.47,-0.47
SGWL038-OW,Vindhyan,14,1.321,1.159,0.442,0.442
CHHAT035-OW,Granite,13,1.322,1.141,0.072,0.072
TKM086-OW,Granite,14,1.327,0.929,0.527,0.527
SGUN044-OW,Basalt,14,1.328,1.185,0.787,0.787
SIND117-OW,Basalt,14,1.329,1.094,0.653,0.653
SGWL039-OW,Vindhyan,14,1.329,1.08,0.632,0.632
