Well No,Depth To,LyrId,Lithology,Colour,Texture,Shape,Drill Time
"SIND-034-PZ",38.4,,"Basalt hard","black","hard","subangular to angular",
"SIND-035-NEW",13.72,,"yellow sandy soil","yellow","regular",,
"SIND-035-NEW",18.3,,"Gneiss fractured","yellow","regular",,
"SIND-035-NEW",19.82,,"bolder","black","uneven",,
"SIND-035-NEW",20.75,,"Red bole","red","regular",,
"SIND-035-NEW",22,,"Basalt weathered","greyish black","subheadrd",,
"SIND-035-NEW",35,,"Massive Basalts","black","subheadrd",,
"SIND-035-NEW",45.15,,"Massive Basalts","black","sucheadrd",,
"SIND-035-NEW",48.8,,"Massive Basalts","black","subheadrd",,
"SIND-035-NEW",53.4,,"Basalt weathered","green","subheadrd",,
"SIND-035-PZ",0.9,,"Topsoil","black","very fine","rounded to subrounded",
"SIND-035-PZ",6,,"Clay with interbeds of sand","yellow","fine to medium","subangular-subrounded",
"SIND-035-PZ",8.85,,"Clay with interbeds of sand","yellow","fine to medium","subangular-subrounded",
"SIND-035-PZ",11.6,,"Basalt hard","black","hard","subangular to angular",
"SIND-035-PZ",12.8,,"Red bole","red","fine to medium","subangular",
"SIND-035-PZ",17.1,,"Basalt weathered","brown","fine to medium","subangular",
"SIND-035-PZ",26.5,,"Basalt weathered/fractured","brown","medium to coarse","subangular to angular",
"SIND-035-PZ",38.4,,"Basalt hard","black","hard","subangular to angular",
"SIND-036-PZ",1.5,,"Vesicular Basalts","brown","medium to coarse","angular",
"SIND-036-PZ",5,,"Basalt fractured","brown","medium to coarse","rounded to subrounded",
"SIND-036-PZ",6,,"Basalt hard","black","fine to medium","subangular",
"SIND-036-PZ",15,,"Basalt weathered","dull brown","coarse","rounded to subrounded",
"SIND-036-PZ",20.75,,"Basalt fractured","greyish black","coarse to very coarse","subangular to angular",
"SIND-036-PZ",54.6,,"Basalt hard","greyish black","fine","angular",
"SIND-036-PZ",55.2,,"Red bole","red","fine","subangular",
"SIND-036-PZ",59.45,,"Basalt weathered","dull brown","fine to medium","subangular-subrounded",
"SIND-036-PZ",63.41,,"Basalt weathered","brown","medium to coarse","subangular",
"SIND-037-PZ",0.6,,"Topsoil","black","very fine","rounded to subrounded",
"SIND-037-PZ",3,,"Basalt weathered","brown","fine to medium","subangular",
"SIND-037-PZ",9.75,,"jointed basald","greyish black","coarse","angular",
"SIND-037-PZ",23.8,,"Massive Basalts","black","hard","subangular to angular",
"SIND-037-PZ",29,,"Basalt weathered","brown","fine","subangular",
"SIND-037-PZ",35,,"Basalt weathered/fractured","brown","medium to coarse","subangular to angular",
"SIND-037-PZ",38.4,,"Massive Basalts","black","hard","subangular to angular",
"SIND-038-PZ",1.5,,"Topsoil","black","very fine","rounded to subrounded",
"SIND-038-PZ",3.65,,"Basalt highly weathered","greyish black","fine to medium","subangular",
"SIND-038-PZ",4.6,,"Basalt weathered","greyish black","fine","subangular",
"SIND-038-PZ",6.1,,"Basalt weathered/fractured","greyish black","medium","subangular to angular",
"SIND-038-PZ",16.8,,"Basalt hard","brown","hard","subangular to angular",
"SIND-038-PZ",18,,"Red bole","red","fine to medium","subangular",
"SIND-038-PZ",24,,"Basalt weathered","greyish black","fine to medium","subangular",
"SIND-038-PZ",33.55,,"Basalt fractured","greyish black","coarse","angular",
"SIND-038-PZ",38.7,,"Basalt hard","black","hard","subangular to angular",
"SIND-039-A-PZ",0.61,,"B.C.soil","black","very fine","rounded to subrounded",
"SIND-039-A-PZ",2.15,,"Basalt weathered","greyish black","fine to medium","subangular",
"SIND-039-A-PZ",6.1,,"Basalt weathered/fractured","greyish black","medium","rounded to subrounded",
"SIND-039-A-PZ",9.15,,"Basalt hard","black","hard","subangular to angular",
"SIND-039-A-PZ",14,,"Basalt weathered","brown","fine to medium","rounded to subrounded",
"SIND-039-A-PZ",28.65,,"Basalt vesicular","brown","fine to medium","subangular",
"SIND-039-A-PZ",33.15,,"Basalt weathered/fractured","brown","medium","subangular to angular",
"SIND-039-A-PZ",45.15,,"Basalt hard","black","hard","subangular to angular",
"SIND-039-A-PZ",50.6,,"Basalt vesicular","brown","fine to medium","subangular",
"SIND-039-A-PZ",55.2,,"Basalt weathered/fractured","greyish black","medium","subangular",
"SIND-039-A-PZ",64.65000000000001,,"Massive Basalts","black","hard","subangular to angular",
"SIND-039-B-PZ",0.6,,"B.C.soil","black","very fine","rounded to subrounded",
"SIND-039-B-PZ",1.85,,"Basalt weathered","brown","fine to medium","subangular",
"SIND-039-B-PZ",4.9,,"Basalt weathered/fractured","greyish black","medium","subangular to angular",
"SIND-039-B-PZ",7.95,,"Basalt hard","black","hard","subangular to angular",
"SIND-039-B-PZ",11.6,,"Basalt weathered","brown","fine to medium","subangular",
"SIND-039-B-PZ",27.75,,"Basalt vesicular","brown","fine to medium","rounded to subrounded",
"SIND-039-B-PZ",35.05,,"Basalt fractured","brown","coarse","angular",
"SIND-039-B-PZ",46.05,,"Basalt hard","black","hard","subangular to angular",
"SIND-039-B-PZ",50.6,,"Basalt vesicular","brown","fine to medium","subangular",
"SIND-039-B-PZ",53.35,,"Basalt fractured","brown","coarse","angular",
"SIND-039-B-PZ",78.05,,"Massive Basalts","black","hard","subangular",
"SIND-039-B-PZ",106.4,,"Massive Basalts","black","hard","subangular to angular",
"SIND-039-B-PZ",108.55,,"Basalt highly weathered","brown","fine to medium","subangular",
"SIND-039-B-PZ",110.35,,"Basalt weathered","greyish black","fine to medium","angular",
"SIND-039-B-PZ",114.65,,"Basalt fractured","greyish black","coarse","subangular to angular",
"SIND-039-B-PZ",117.38,,"Massive Basalts","black","hard","subangular to angular",
"SIND-040-PZ",0.9,,"B.C. Soil","black","very fine","rounded to subrounded",
"SIND-040-PZ",1.85,,"Basalt weathered","greyish black","fine to medium","subangular",
"SIND-040-PZ",6.7,,"Basalt weathered/fractured","brown","medium","subangular to angular",
"SIND-040-PZ",8.85,,"Basalt hard","black","hard","subangular to angular",
"SIND-040-PZ",9.75,,"Basalt weathered","greyish black","fine to medium","subangular",
"SIND-040-PZ",17.4,,"Basalt vesicular","brown","fine to medium","subangular",
"SIND-040-PZ",22.85,,"Basalt weathered/fractured","brown","medium","subangular to angular",
"SIND-040-PZ",32.6,,"Basalt fractured","brown","coarse","angular",
"SIND-040-PZ",35,,"Basalt hard","black","hard","subangular to angular",
"SIND-040-PZ",45.75,,"Massive Basalts","black","hard","subangular to angular",
"SIND-040-PZ",49.1,,"Basalt fractured","brown","coarse","angular",
"SIND-040-PZ",51.85,,"Basalt fractured","brown","coarse","angular",
"SIND-040-PZ",60.06,,"Massive Basalts","black","hard","subangular to angular",
"SIND-34-PTW-NEW",5,,"Black cotton soil","black","fine","angular",
"SIND-34-PTW-NEW",7.6,,"yellow sandy soil","yellow","fine","angular",
"SIND-34-PTW-NEW",12,,"Basalt weathered","greyish black","medium","subangular",
"SIND-34-PTW-NEW",25.9,,"Massive Basalts","black","medium","subangular",
"SIND-34-PTW-NEW",27.45,,"Red bole","red","fine","angular",
"SIND-34-PTW-NEW",30,,"Basalt weathered","black","medium","subangular",
"SIND-34-PTW-NEW",39,,"Massive Basalts","black","medium","subangular",
"SIND-34-PTW-NEW",41.15,,"Basalt weathered","greyish black","medium","subangular",
"SIND-34-PTW-NEW",44.8,,"Massive Basalts","black","medium","subangular",
"SIND-PTW 38-PZ",1.5,,"BLACK COTTON","black","fine","angular",
"SIND-PTW 38-PZ",7.1,,"YELLOW SANDY SOIL","yellow","medium","subangular",
"SIND-PTW 38-PZ",8.15,,"Clay soft","grey","medium","subangular",
"SIND-PTW 38-PZ",10.7,,"Basalt weathered","greyish black","medium","subangular",
"SIND-PTW 38-PZ",12.12,,"JOINT BASALT","black","fine","subangular",
"SIND-PTW 38-PZ",19,,"Massive Basalts","black","fine","subangular",
"SIND-PTW 38-PZ",20.2,,"Red bole","red","fine","angular",
"SIND-PTW 38-PZ",32.36,,"Basalt weathered","grey","medium","subangular",
"SIND-PTW 38-PZ",33.35,,"Massive Basalts","black","medium","subangular",
"SIND-PTW-01 NEW",2,,"black cotton soil","black","fine","angular",
"SIND-PTW-01 NEW",5,,"yellow sandy soil","yellow","fine","angular",
"SIND-PTW-01 NEW",8.5,,"Basalt weathered","greyish black","medium","subangular",
"SIND-PTW-01 NEW",12,,"Basalt fractured","black","medium","subangular",
"SIND-PTW-01 NEW",28.5,,"Massive Basalts","black","medium","subangular",
"SIND-PTW-01 NEW",32,,"Massive Basalts","black","medium","subangular",
"SIND-PTW-01 NEW",35.1,,"Basalt weathered","greyish black","medium","subangular",
"SIND-PTW-01 NEW",36.1,,"Massive Basalts","black","medium","subangular",
"SIND-PTW-07",0.55,,"Black cotton soil","black","fine","angular",
"SIND-PTW-07",4,,"Basalt weathered","greyish black","medium","uneven",
"SIND-PTW-07",12,,"Massive Basalts","black","fine to medium","subangular",
"SIND-PTW-07",24,,"Basalt weathered","black","medium","subangular",
"SIND-PTW-07",30,,"Massive Basalts","black","medium","subangular",
"SIND-PTW-07",34,,"Massive Basalts","black","medium","subangular",
"SIND-PTW-07",40,,"Basalt weathered","greyish black","medium","subangular",
"SIND-PTW-07",42.68,,"Massive Basalts","black","medium","subangular",
"SIND-PTW-18",0.3,,"Black cotton soil","black","fine","angular",
"SIND-PTW-18",13.2,,"Basalt weathered","greyish black","medium","subangular",
"SIND-PTW-18",14.35,,"Red bole","red","fine","angular",
"SIND-PTW-18",15.5,,"Basalt weathered","grey","medium","subangular",
"SIND-PTW-18",45,,"Massive Basalts","black","medium","subangular",
"SIND-PTW-18",48,,"Basalt weathered","greyish black","medium","subangular",
"SIND-PTW-18",50.2,,"Basalt hard","black","medium","subangular",
"SIND-PTW-21-NEW",0.9,,"Black cotton soil","black","fine","angular",
"SIND-PTW-21-NEW",3,,"Basalt highly weathered","dull brown","medium","uneven",
"SIND-PTW-21-NEW",6.7,,"Basalt weathered","greyish black","medium","subangular",
"SIND-PTW-21-NEW",11,,"Massive Basalts","black","medium","subangular",
"SIND-PTW-21-NEW",15,,"Basalt vesicular","greyish black","medium","subangular",
"SIND-PTW-21-NEW",23,,"Basalt weathered","greyish black","medium","subangular",
"SIND-PTW-21-NEW",30,,"Basalt fractured","black","medium","subangular",
"SIND-PTW-21-NEW",36,,"Massive Basalts","black","medium","subangular",
"SIND-PTW-21-NEW",39,,"Basalt weathered","greyish black","medium","subangular",
"SIND-PTW-21-NEW",41.55,,"Massive Basalts","black","medium","subangular",
