date,rainfall_mm,well_id,lat,lon
1983-08-01,307.5,SGWL047A-OW,26.115,78.011389
1983-09-01,179.70000000000002,SGWL047A-OW,26.115,78.011389
1983-10-01,47.6,SGWL047A-OW,26.115,78.011389
1983-11-01,0.0,SGWL047A-OW,26.115,78.011389
1983-12-01,0.5,SGWL047A-OW,26.115,78.011389
1984-01-01,11.4,SGWL047A-OW,26.115,78.011389
1984-02-01,2.5,SGWL047A-OW,26.115,78.011389
1984-03-01,0.6,SGWL047A-OW,26.115,78.011389
1984-04-01,1.3,SGWL047A-OW,26.115,78.011389
1984-05-01,0.0,SGWL047A-OW,26.115,78.011389
1984-06-01,29.9,SGWL047A-OW,26.115,78.011389
1984-07-01,145.9,SGWL047A-OW,26.115,78.011389
1984-08-01,223.3,SGWL047A-OW,26.115,78.011389
1984-09-01,56.4,SGWL047A-OW,26.115,78.011389
1984-10-01,0.0,SGWL047A-OW,26.115,78.011389
1984-11-01,0.0,SGWL047A-OW,26.115,78.011389
1984-12-01,2.0999999999999996,SGWL047A-OW,26.115,78.011389
1985-01-01,7.2,SGWL047A-OW,26.115,78.011389
1985-02-01,0.0,SGWL047A-OW,26.115,78.011389
1985-03-01,0.3,SGWL047A-OW,26.115,78.011389
1985-04-01,3.7,SGWL047A-OW,26.115,78.011389
1985-05-01,4.4,SGWL047A-OW,26.115,78.011389
1985-06-01,6.5,SGWL047A-OW,26.115,78.011389
1985-07-01,272.0,SGWL047A-OW,26.115,78.011389
1985-08-01,155.5,SGWL047A-OW,26.115,78.011389
1985-09-01,142.6,SGWL047A-OW,26.115,78.011389
1985-10-01,221.7,SGWL047A-OW,26.115,78.011389
1985-11-01,0.0,SGWL047A-OW,26.115,78.011389
1985-12-01,5.5,SGWL047A-OW,26.115,78.011389
1986-01-01,33.0,SGWL047A-OW,26.115,78.011389
1986-02-01,29.799999999999997,SGWL047A-OW,26.115,78.011389
1986-03-01,1.2,SGWL047A-OW,26.115,78.011389
1986-04-01,0.6000000000000001,SGWL047A-OW,26.115,78.011389
1986-05-01,12.5,SGWL047A-OW,26.115,78.011389
1986-06-01,120.60000000000001,SGWL047A-OW,26.115,78.011389
