well_id,geology_type,aquifer_classification,confidence
SGWL031A-OW,Vindhyan,Weathered,0.75
SGWL032A-OW,Vindhyan,Weathered,0.5
SGWL033A-OW,Vindhyan,Weathered,0.67
SGWL034A-OW,Vindhyan,Weathered,0.67
SGWL035A-OW,Vindhyan,Weathered,0.5
SGWL036A-OW,Vindhyan,Weathered,0.67
SGWL037-OW,Vindhyan,Weathered,0.75
SGWL038-OW,Vindhyan,Weathered,0.67
SGWL039-OW,Vindhyan,Weathered,0.67
SGWL040A-OW,Vindhyan,Weathered,0.75
SGWL041-OW,Vindhyan,Weathered,0.67
SGWL042-OW,Vindhyan,Weathered,0.67
SGWL043A-OW,Vindhyan,Weathered,0.5
SGWL044-OW,Vindhyan,Weathered,0.67
SGWL045-OW,Vindhyan,Weathered,0.67
SGWL046-OW,Vindhyan,Weathered,0.67
SGWL047A-OW,Vindhyan,Weathered,0.67
SGWL048-OW,Vindhyan,Weathered,0.67
SGWL049-OW,Vindhyan,Weathered,0.67
SGWL050A-OW,Vindhyan,Weathered,0.67
SGWL051-OW,Vindhyan,Weathered,0.67
SGWL052-OW,Vindhyan,Weathered,0.67
SGWL053-OW,Vindhyan,Weathered,0.5
SGWL054-OW,Vindhyan,Weathered,0.67
SGWL055-OW,Vindhyan,Unknown,0.5
SGWL056A-OW,Vindhyan,Weathered,0.67
SGWL057-OW,Vindhyan,Weathered,0.5
SGWL063A-OW,Vindhyan,Weathered,0.67
SGWL064-OW,Vindhyan,Weathered,0.5
SGWL066-OW,Vindhyan,Weathered,0.67
SGWL068-OW,Vindhyan,Weathered,0.67
SGWL069-OW,Vindhyan,Weathered,0.67
SGWL070A-OW,Vindhyan,Weathered,0.75
SGWL071-OW,Vindhyan,Weathered,0.75
SGWL072-OW,Vindhyan,Weathered,0.75
SGWL073-OW,Vindhyan,Weathered,0.75
SGWL074A-OW,Vindhyan,Weathered,0.75
SGWL075-OW,Vindhyan,Weathered,0.67
SGWL076A-OW,Vindhyan,Weathered,0.67
SGWL078-OW,Vindhyan,Weathered,0.67
SGWL079-OW,Vindhyan,Weathered,0.5
SGWL082A-OW,Vindhyan,Weathered,0.5
SGWL083-OW,Vindhyan,Weathered,0.67
SGWL084-OW,Vindhyan,Weathered,0.75
SGWL085-OW,Vindhyan,Weathered,0.75
SGWL086-OW,Vindhyan,Weathered,0.67
SGWL087-OW,Vindhyan,Weathered,0.67
SGWL089-OW,Vindhyan,Weathered,0.5
SGWL090-OW,Vindhyan,Weathered,0.5
SGWL091-OW,Vindhyan,Weathered,0.75
SGWL092-OW,Vindhyan,Weathered,0.67
SGWL093-OW,Vindhyan,Weathered,0.67
SGWL094-OW,Vindhyan,Weathered,0.67
SGWL095-OW,Vindhyan,Weathered,0.67
SGWL096-OW,Vindhyan,Weathered,0.67
SGWL097-OW,Vindhyan,Weathered,0.67
SGWL098-OW,Vindhyan,Weathered,0.67
SGWL099-OW,Vindhyan,Weathered,0.5
SGWL100-OW,Vindhyan,Weathered,0.5
SGWL101-OW,Vindhyan,Weathered,0.5
SGWL102-OW,Vindhyan,Weathered,0.67
SGWL103-OW,Vindhyan,Weathered,0.67
SGWL104-OW,Vindhyan,Weathered,0.67
SGWL105-OW,Vindhyan,Weathered,0.67
SGWL106-OW,Vindhyan,Weathered,0.5
SGWL107-OW,Vindhyan,Weathered,0.67
SGWL108-OW,Vindhyan,Weathered,0.67
SGWL109-OW,Vindhyan,Weathered,0.67
SGWL110-OW,Vindhyan,Weathered,0.5
SGWL111-OW,Vindhyan,Weathered,0.67
SGWL112-OW,Vindhyan,Weathered,0.67
SGWL113-OW,Vindhyan,Weathered,0.75
SGWL114-OW,Vindhyan,Weathered,0.67
SGWL115-OW,Vindhyan,Weathered,0.67
SGWL116-OW,Vindhyan,Weathered,0.67
SGWL117-OW,Vindhyan,Weathered,0.67
SGWL118-OW,Vindhyan,Weathered,0.5
SGWL119-OW,Vindhyan,Weathered,0.67
SGWL120-OW,Vindhyan,Weathered,1.0
SGWL121-OW,Vindhyan,Weathered,0.67
SGWL122-OW,Vindhyan,Weathered,0.67
SIND001-OW,Basalt,Weathered,0.6
SIND-001-PZ,Basalt,Weathered,0.78
SIND-002-PZ,Basalt,Weathered,0.57
SIND-003-PZ,Basalt,Fractured,0.78
SIND-004-A-PZ,Basalt,Weathered,0.71
SIND-004-B-PZ,Basalt,Fractured,0.87
SIND-004-C-PZ,Basalt,Fractured,0.82
SIND-005-PZ,Basalt,Fractured,0.67
SIND-006-PZ,Basalt,Fractured,0.75
SIND007-OW,Basalt,Weathered,0.6
SIND-007-PZ,Basalt,Fractured,0.75
SIND-008-PZ,Basalt,Fractured,0.78
SIND-009-PZ,Basalt,Fractured,0.62
SIND-010-PZ,Basalt,Fractured,0.89
SIND-011-PZ,Basalt,Fractured,0.89
SIND-012-PZ,Basalt,Fractured,0.67
SIND-013-PZ,Basalt,Fractured,0.7
SIND014-OW,Basalt,Weathered,0.5
SIND-014-PZ,Basalt,Fractured,0.85
SIND-015-PZ,Basalt,Fractured,0.8
SIND-016-PZ,Basalt,Fractured,0.56
SIND017-OW,Basalt,Weathered,0.5
SIND-017-PZ,Basalt,Fractured,0.67
SIND-018-PZ,Basalt,Fractured,0.75
SIND-019-A-PZ,Basalt,Fractured,0.67
SIND-019-B-PZ,Basalt,Fractured,0.85
SIND-019-C-PZ,Basalt,Fractured,0.8
SIND-020-PZ,Basalt,Fractured,0.57
SIND021-OW,Basalt,Weathered,0.5
SIND-021-PZ,Basalt,Fractured,0.82
SIND-022-PZ,Basalt,Fractured,1.0
SIND-023-PZ,Basalt,Fractured,0.88
SIND024-OW,Basalt,Weathered,0.67
SIND-024-PZ,Basalt,Fractured,1.0
SIND025-OW,Basalt,Weathered,0.5
SIND-025-PZ,Basalt,Fractured,0.78
SIND026-OW,Basalt,Weathered,0.5
SIND-026-PZ,Basalt,Fractured,0.67
SIND027-OW,Basalt,Weathered,0.5
SIND-027-PZ,Basalt,Fractured,0.67
SIND-028-PZ,Basalt,Fractured,0.62
SIND-029-PZ,Basalt,Fractured,0.5
SIND030-OW,Basalt,Weathered,0.5
SIND-030-PZ,Basalt,Fractured,0.67
SIND-031-PZ,Basalt,Fractured,0.88
SIND-032-PZ,Basalt,Fractured,0.56
SIND-033-PZ,Basalt,Fractured,0.55
SIND-034-PZ,Basalt,Fractured,0.64
SIND-035-NEW,Basalt,Fractured,0.67
SIND-035-PZ,Basalt,Fractured,0.62
SIND-036-PZ,Basalt,Fractured,1.0
SIND-037-PZ,Basalt,Fractured,0.71
SIND-038-PZ,Basalt,Fractured,0.89
SIND-039-A-PZ,Basalt,Fractured,0.91
SIND-039-B-PZ,Basalt,Fractured,0.94
SIND-040-PZ,Basalt,Fractured,0.92
SIND041-OW,Basalt,Weathered,0.75
SIND050-OW,Basalt,Weathered,0.75
SIND060-OW,Basalt,Weathered,0.5
SIND064-OW,Vindhyan,Weathered,0.67
SIND067-OW,Basalt,Weathered,0.5
SIND-06-PTW,Unknown,Unknown,0.0
SIND070-OW,Basalt,Weathered,0.6
SIND071-OW,Basalt,Weathered,0.6
SIND072-OW,Basalt,Weathered,0.6
SIND074-OW,Basalt,Weathered,0.6
SIND075-OW,Basalt,Weathered,0.6
SIND076-OW,Basalt,Weathered,0.6
SIND101-OW,Basalt,Weathered,0.5
SIND102-OW,Basalt,Weathered,0.5
SIND104-OW,Basalt,Weathered,0.67
SIND105-OW,Basalt,Weathered,0.6
SIND107-OW,Basalt,Weathered,0.6
SIND108-OW,Basalt,Weathered,0.67
SIND109-OW,Vindhyan,Weathered,0.6
SIND112-OW,Basalt,Weathered,0.5
SIND114-OW,Basalt,Weathered,0.5
SIND117-OW,Basalt,Weathered,0.6
SIND118-OW,Basalt,Weathered,0.33
SIND119-OW,Basalt,Weathered,0.5
SIND121-OW,Basalt,Weathered,0.5
SIND123-OW,Vindhyan,Weathered,0.75
SIND124-OW,Vindhyan,Weathered,0.75
SIND125-OW,Basalt,Weathered,0.5
SIND126-OW,Vindhyan,Weathered,0.6
SIND128-OW,Basalt,Weathered,0.5
SIND129-OW,Basalt,Weathered,0.5
SIND130-OW,Basalt,Weathered,0.5
SIND131-OW,Basalt,Weathered,0.5
SIND132-OW,Basalt,Weathered,0.5
SIND135-OW,Vindhyan,Weathered,0.67
SIND136-OW,Basalt,Weathered,0.5
SIND138-OW,Vindhyan,Weathered,0.67
SIND139-OW,Basalt,Weathered,0.6
SIND140-OW,Basalt,Weathered,0.6
SIND141-OW,Basalt,Weathered,0.5
SIND142-OW,Basalt,Weathered,0.6
SIND143-OW,Basalt,Weathered,0.6
SIND144-OW,Basalt,Weathered,0.6
SIND145-OW,Basalt,Weathered,0.6
SIND146-OW,Basalt,Weathered,0.6
SIND147-OW,Basalt,Weathered,0.5
SIND148-OW,Basalt,Weathered,0.6
SIND149-OW,Basalt,Weathered,0.67
SIND150-OW,Basalt,Weathered,0.5
SIND151-OW,Basalt,Weathered,0.5
SIND152-OW,Basalt,Weathered,0.5
SIND153-OW,Basalt,Weathered,0.5
SIND154-OW,Basalt,Weathered,0.6
SIND155-OW,Basalt,Weathered,0.6
SIND156-OW,Basalt,Weathered,0.75
SIND157-OW,Basalt,Weathered,0.5
SIND158-OW,Basalt,Weathered,0.67
SIND160OW,Basalt,Weathered,0.75
SIND162-OW,Basalt,Weathered,0.75
SIND163-OW,Vindhyan,Weathered,0.75
SIND165-OW,Basalt,Weathered,0.6
SIND166-OW,Vindhyan,Weathered,0.75
SIND167-OW,Vindhyan,Weathered,0.67
SIND168-OW,Vindhyan,Weathered,0.6
SIND171-OW,Basalt,Weathered,0.75
SIND172-OW,Basalt,Weathered,0.5
SIND174-OW,Vindhyan,Weathered,0.75
SIND176-OW,Vindhyan,Weathered,0.67
SIND177-OW,Vindhyan,Weathered,0.67
SIND178-OW,Basalt,Weathered,0.5
SIND179-OW,Basalt,Weathered,0.5
SIND180-OW,Basalt,Weathered,0.6
SIND181-OW,Basalt,Weathered,0.6
SIND182-OW,Basalt,Weathered,0.6
SIND183-OW,Basalt,Weathered,0.5
SIND184--OW,Basalt,Weathered,0.6
SIND185-OW,Basalt,Weathered,0.6
SIND186-OW,Basalt,Weathered,0.6
SIND187-OW,Basalt,Weathered,0.6
SIND188-OW,Basalt,Weathered,0.6
SIND189-OW,Basalt,Weathered,0.5
SIND190-OW,Basalt,Weathered,0.6
SIND191_OW,Basalt,Weathered,0.67
SIND192-OW,Basalt,Weathered,0.6
SIND193OWNEW2016,Basalt,Weathered,0.5
SIND194-OWNEW2016,Basalt,Weathered,0.6
SIND195-OWNEW2016,Basalt,Weathered,0.5
SIND196-OWNEW2016,Basalt,Weathered,0.6
SIND197-OWNEW2016,Basalt,Weathered,0.5
SIND198-OWNEW2016,Basalt,Weathered,0.6
SIND199-OWNEW2016,Basalt,Weathered,0.6
SIND-34-PTW-NEW,Basalt,Weathered,0.89
SIND-PTW-01NEW,Basalt,Fractured,0.88
SIND-PTW-07,Basalt,Weathered,1.0
SIND-PTW-18,Basalt,Weathered,1.0
SIND-PTW-21-NEW,Basalt,Fractured,1.0
SIND-PTW38-PZ,Basalt,Fractured,0.67
SJBP001-OW-B,Vindhyan,Weathered,0.5
SJBP002-OW-AA,Unknown,Unknown,0.0
SJBP003-OW,Basalt,Weathered,0.33
SJBP004-OW-A,Basalt,Weathered,0.33
SJBP005-OW-A,Basalt,Weathered,0.5
SJBP006-OW-A,Basalt,Weathered,0.6
SJBP007-OW,Basalt,Weathered,0.4
SJBP008-OW,Vindhyan,Weathered,0.8
SJBP009-OWA,Unknown,Unknown,0.0
SJBP010-OW,Vindhyan,Weathered,0.5
SJBP011-OW-A,Vindhyan,Weathered,0.86
SJBP012-OW-A,Basalt,Weathered,0.33
SJBP013-OW,Basalt,Weathered,0.5
SJBP014-OW,Granite,Unknown,0.67
SJBP015-OW,Vindhyan,Weathered,0.86
SJBP016-OW-B,Granite,Weathered,0.5
SJBP017-OW-A,Granite,Weathered,0.5
SJBP018-OWNEW,Vindhyan,Unknown,0.5
SJBP019-OWNEW,Vindhyan,Unknown,0.67
SJBP020-OWNEW,Vindhyan,Unknown,0.5
SJBP021-OWNEW,Vindhyan,Unknown,0.67
SJBP022-OWNEW,Vindhyan,Unknown,0.5
SJBP023-OW,Vindhyan,Weathered,0.88
SJBP024-OWNEW,Unknown,Unknown,0.0
SJBP025-OWNEW,Unknown,Unknown,0.0
SJBP026-OW-A,Vindhyan,Weathered,0.83
SJBP027-OWNEW,Unknown,Unknown,0.0
SJBP028-OW-A,Vindhyan,Weathered,0.67
SJBP029-OW-B,Vindhyan,Weathered,0.75
SJBP030-OW-C,Vindhyan,Weathered,0.83
SJBP031-OW,Vindhyan,Weathered,0.8
SJBP032-OW,Vindhyan,Weathered,0.67
SJBP033-OW-A,Vindhyan,Weathered,0.8
SJBP034-OW-A,Vindhyan,Weathered,0.67
SJBP035-OW-A,Vindhyan,Weathered,0.75
SJBP036-OW-A,Vindhyan,Weathered,0.75
SJBP037-OW,Vindhyan,Weathered,0.75
SJBP038-OWNEW,Unknown,Unknown,0.0
SJBP039-OWNEW,Unknown,Unknown,0.0
SJBP040-OWNEW,Unknown,Unknown,0.0
SJBP041-OWNEW,Unknown,Unknown,0.0
SJBP042-OWNEW,Unknown,Unknown,0.0
SJBP043-OWNEW,Unknown,Unknown,0.0
SJBP044-OWNEW,Unknown,Unknown,0.0
SJBP045-OWNEW,Unknown,Unknown,0.0
SJBP046-OWNEW,Unknown,Unknown,0.0
SJBP047-OWNEW,Basalt,Unknown,0.5
SJBP048-OWNEW,Basalt,Weathered,0.5
SJBP049-OWNEW,Basalt,Weathered,0.5
SJBP050-OWNEW,Basalt,Weathered,0.5
SJBP051-OWNEW,Basalt,Weathered,0.5
SJBP052-OWNEW,Basalt,Weathered,0.5
SJBP053-OW-C,Basalt,Weathered,0.67
SJBP054-OW-A,Vindhyan,Weathered,0.75
SJBP055-OW,Vindhyan,Weathered,0.8
SJBP056-OW-A,Vindhyan,Weathered,0.83
SJBP057-OW,Basalt,Weathered,0.33
SJBP058-OW-A,Basalt,Weathered,0.67
SJBP059-OW-A,Basalt,Weathered,0.5
SJBP060-OW,Basalt,Weathered,0.5
SJBP061-OW-B,Vindhyan,Weathered,0.5
SJBP062-OW,Basalt,Weathered,0.5
SJBP063-OWNEW,Basalt,Weathered,0.5
SJBP064-OW,Vindhyan,Weathered,0.67
SJBP065-OW,Vindhyan,Weathered,0.8
SJBP066-OW,Vindhyan,Weathered,0.88
SJBP067-OW-A,Vindhyan,Weathered,0.86
SJBP068-OW-A,Vindhyan,Weathered,0.67
SJBP069-OW,Vindhyan,Weathered,0.89
SJBP070-OW-A,Granite,Weathered,0.4
SJBP071-OW-A,Granite,Weathered,0.5
SJBP072-OWNEW,Unknown,Unknown,0.0
SJBP073-OWNEW,Vindhyan,Unknown,0.25
SJBP074-OWNEW,Vindhyan,Unknown,0.33
SJBP075-OWNEW,Vindhyan,Weathered,0.33
SJBP076-OWNEW,Vindhyan,Weathered,0.33
SJBP0770OWNEW,Vindhyan,Weathered,0.33
SJBP078-OWNEW,Vindhyan,Weathered,0.33
SJBP079-OWNEW,Unknown,Unknown,0.0
SJBP080-OWNEW,Unknown,Unknown,0.0
SJBP081-OW-C,Unknown,Unknown,0.0
SJBP082-OW-A,Vindhyan,Weathered,0.8
SJBP083-OWB,Unknown,Unknown,0.0
SJBP084-OW-A,Vindhyan,Weathered,0.89
SJBP085-OW,Vindhyan,Weathered,0.83
SJBP086-OWNEW,Unknown,Unknown,0.0
SJBP087-OW-B,Vindhyan,Unknown,0.33
SJBP088-OWNEW,Unknown,Unknown,0.0
SJBP089-OWNEW,Unknown,Unknown,0.0
SJBP090-OWNEW,Unknown,Unknown,0.0
SJBP091-OWNEW,Unknown,Unknown,0.0
SJBP092-OWNEW,Unknown,Unknown,0.0
SJBP093-OWNEW,Unknown,Unknown,0.0
SJBP094-OWNEW,Basalt,Weathered,0.5
SJBP095-OWNEW,Basalt,Weathered,0.33
SJBP096-OWNEW,Basalt,Weathered,0.33
SJBP097-OWNEW,Basalt,Weathered,0.5
SJBP098-OWNEW,Basalt,Weathered,0.5
SJBP099-OWNEW,Basalt,Weathered,0.33
SJBP100-OWNEW,Basalt,Unknown,0.5
SJBPL001-PZ,Basalt,Weathered,0.87
SJBPL002-PZ,Vindhyan,Weathered,0.93
SJBPL003-PZ,Unknown,Weathered,0.0
SJBPL004-PZ,Vindhyan,Weathered,0.94
SJBPL005-PZ,Vindhyan,Weathered,0.86
SJBPL006-PZ,Basalt,Weathered,0.8
SJBPL006-PZ-D,Basalt,Weathered,0.9
SJBPL007-PZ,Unknown,Weathered,0.0
SJBPL008-PZ,Vindhyan,Weathered,0.88
SJBPL008PZ-D,Unknown,Fractured,0.0
SJBPL009-PZ,Vindhyan,Weathered,0.6
SJBPL009-PZ-D,Vindhyan,Fractured,0.27
SJBPL010-PZ,Basalt,Weathered,0.8
SJBPL011-PZ,Basalt,Weathered,0.87
SJBPL012-PZ,Vindhyan,Weathered,0.8
SJBPL013-PZ,Vindhyan,Weathered,0.87
SJBPL013PZ-D,Vindhyan,Fractured,0.96
SJBPL014-PZ,Unknown,Weathered,0.0
SJBPL015-PZ,Granite,Weathered,0.42
SJBPL016-PZ,Vindhyan,Weathered,0.44
SJBPL017-PZ,Vindhyan,Weathered,0.62
SJBPL018-PZ,Vindhyan,Weathered,0.2
SJBPL019-PZ,Vindhyan,Weathered,0.5
SJBPL019PZ-D,Vindhyan,Fractured,0.23
SJBPL020-PZ,Vindhyan,Weathered,0.69
SJBPL021-PZ,Vindhyan,Weathered,0.93
SJBPL022-PZ,Vindhyan,Weathered,0.95
SJBPL023-PZ,Basalt,Weathered,0.98
SJBPL023PZ-D,Basalt,Weathered,0.96
SJBPL024-PZ,Vindhyan,Fractured,0.82
SJBPLO25-PZ,Vindhyan,Fractured,0.6
SUJN001A-OW,Basalt,Weathered,0.67
SUJN-001-PZ,Basalt,Fractured,0.86
SUJN002-OW,Basalt,Weathered,0.75
SUJN-002-PZ,Basalt,Fractured,0.83
SUJN003-OW,Basalt,Weathered,0.8
SUJN-003-PZ,Basalt,Fractured,1.0
SUJN004-OW,Basalt,Weathered,0.8
SUJN-004-PZ,Basalt,Fractured,0.75
SUJN-005-PZ,Basalt,Fractured,0.67
SUJN006A-OW,Basalt,Weathered,0.8
SUJN-006-PZ,Basalt,Fractured,0.71
SUJN007-OW,Basalt,Weathered,0.75
SUJN-007-PZ,Basalt,Fractured,0.62
SUJN008-OW,Basalt,Weathered,0.75
SUJN-008-PZ,Basalt,Fractured,0.8
SUJN-009-PZ,Basalt,Fractured,0.6
SUJN010-OW,Basalt,Weathered,0.75
SUJN010-OW-A,Basalt,Weathered,0.67
SUJN-010-PZ,Basalt,Fractured,0.62
SUJN011-OW,Basalt,Weathered,0.67
SUJN-011-PZ,Basalt,Weathered,0.5
SUJN-012-PZ,Basalt,Weathered,0.57
SUJN013-OW,Basalt,Weathered,0.67
SUJN-013-PZ,Basalt,Weathered,0.6
SUJN014-OW,Basalt,Weathered,0.75
SUJN-014-PZ,Basalt,Weathered,0.8
SUJN-015-PZ,Basalt,Weathered,0.71
SUJN-016-PZ,Basalt,Weathered,0.67
SUJN-017-PZ,Basalt,Weathered,0.83
SUJN-018-PZ,Basalt,Weathered,0.75
SUJN019-OW,Basalt,Weathered,0.75
SUJN-019-PZ,Basalt,Weathered,0.6
SUJN-020-PZ,Basalt,Fractured,0.8
SUJN-021-PZ,Basalt,Weathered,0.8
SUJN022-OW,Basalt,Weathered,0.8
SUJN-022-PZ,Basalt,Fractured,0.82
SUJN023-OW,Basalt,Weathered,0.75
SUJN-023-PZ,Basalt,Fractured,0.79
SUJN025-OW,Basalt,Weathered,0.75
SUJN026-OW,Basalt,Weathered,0.75
SUJN027-OW,Basalt,Weathered,1.0
SUJN029-OW,Basalt,Weathered,0.67
SUJN034-OW,Basalt,Weathered,0.75
SUJN035-OW,Basalt,Weathered,0.75
SUJN036-OW,Basalt,Weathered,0.67
SUJN040-OW,Basalt,Weathered,0.75
SUJN041-OW,Basalt,Weathered,0.75
SUJN044-OW,Basalt,Weathered,0.75
SUJN047-OW,Basalt,Weathered,0.67
SUJN048-OW,Basalt,Weathered,0.6
SUJN051-OW,Basalt,Weathered,0.6
SUJN052-OW,Basalt,Weathered,0.75
SUJN053-OW,Basalt,Weathered,0.8
SUJN055-OW,Basalt,Weathered,0.67
SUJN056-OW,Basalt,Weathered,0.5
SUJN057-OW,Basalt,Weathered,0.8
SUJN059-OW,Basalt,Weathered,0.75
SUJN060-OW,Basalt,Weathered,0.5
SUJN061-OW,Basalt,Weathered,0.71
SUJN062-OW,Basalt,Weathered,0.33
SUJN063-OW,Basalt,Weathered,0.5
SUJN064-OW,Basalt,Weathered,0.5
SUJN065-OW,Basalt,Weathered,0.5
SUJN066-OW,Basalt,Weathered,0.5
SUJN068-OW,Basalt,Weathered,0.25
SUJN070-OW,Basalt,Weathered,0.5
SUJN071-OW,Basalt,Weathered,0.5
SUJN073-OW,Basalt,Weathered,0.5
SUJN074-OW,Basalt,Weathered,0.5
SUJN075-OW,Basalt,Weathered,0.33
SUJN076-OW,Basalt,Weathered,0.6
SUJN078-OW,Basalt,Weathered,0.33
SUJN079-OW,Basalt,Weathered,0.5
SUJN081-OW,Basalt,Weathered,0.5
SUJN083-OW,Basalt,Weathered,0.6
SUJN084-OW,Basalt,Weathered,0.6
SUJN085-OW,Basalt,Weathered,1.0
SUJN087-OW,Basalt,Weathered,0.5
SUJN088-OW,Basalt,Weathered,0.6
SUJN089-OW,Basalt,Weathered,0.5
SUJN090-OW,Basalt,Weathered,0.75
SUJN091-OW,Basalt,Weathered,0.5
SUJN093-OW,Basalt,Weathered,0.33
SUJN096-OW,Basalt,Weathered,0.33
SUJN101-OW,Basalt,Weathered,0.5
SUJN102-OW,Basalt,Weathered,0.33
SUJN103-OW,Basalt,Weathered,0.33
SUJN104-OW,Basalt,Weathered,0.4
SUJN105-OW,Basalt,Weathered,0.33
SUJN106-OW,Basalt,Weathered,0.33
SUJN107-OW,Basalt,Weathered,0.5
SUJN108-OW,Basalt,Weathered,0.33
SUJN109-OW,Basalt,Weathered,0.33
SUJN110-OW,Basalt,Weathered,0.5
SUJN111-OW,Basalt,Weathered,0.6
SUJN112-OW,Basalt,Weathered,0.75
SUJN113-OW,Basalt,Weathered,0.75
SUJN114-OW,Basalt,Weathered,0.6
SUJN115-OW,Basalt,Weathered,0.5
SUJN116-OW,Basalt,Weathered,0.6
SUJN117-OW,Basalt,Weathered,0.6
SUJN118-OW,Basalt,Weathered,0.75
SUJN119-OW,Basalt,Weathered,0.6
SUJN120-OW,Basalt,Weathered,0.67
SUJN121-OW,Basalt,Weathered,0.33
SUJN122-OW,Basalt,Weathered,0.33
SUJN123-OW,Basalt,Weathered,0.5
SUJN124-OW,Basalt,Weathered,0.5
SUJN125-OW,Basalt,Weathered,0.5
SUJN126-OW,Basalt,Weathered,0.5
SUJN127-OW,Basalt,Weathered,0.6
SUJN128-OW,Basalt,Weathered,0.6
SUJN129-OW,Basalt,Weathered,0.75
SUJN130-OW,Basalt,Weathered,0.67
SUJN131-OW,Basalt,Weathered,0.75
SUJN132-OW,Basalt,Weathered,0.75
SUJN133-OW,Basalt,Weathered,0.75
SUJN134-OW,Basalt,Weathered,0.6
SUJN135-OW,Basalt,Weathered,0.5
SUJN136-OW,Basalt,Weathered,0.67
SUJN137-OW,Basalt,Weathered,0.5
SUJN138-OW,Basalt,Weathered,0.75
SUJN139-OW,Basalt,Weathered,0.67
TIKM001-PZ,Granite,Weathered,0.75
TIKM002-PZ,Granite,Weathered,0.75
TIKM003-PZ,Granite,Weathered,0.6
TIKM004-PZ,Granite,Weathered,0.75
TIKM005-PZ,Granite,Weathered,0.8
TIKM006-PZ,Granite,Weathered,0.83
TIKM007-PZ,Granite,Weathered,0.8
TIKM008-PZ,Granite,Weathered,0.6
TIKM009-PZ,Granite,Weathered,0.75
TIKM010-PZ,Granite,Weathered,0.75
TIKM011-PZ,Granite,Weathered,0.75
TIKM012-PZ,Granite,Weathered,0.75
TIKM013-PZ,Granite,Weathered,0.8
TIKM014-PZ,Granite,Weathered,0.6
TIKM015-PZ,Granite,Weathered,0.8
TIKM016-PZ,Granite,Weathered,0.6
TIKM017-PZ,Granite,Weathered,0.83
TIKM020-PZ,Granite,Weathered,0.75
TIKM-20-PZ,Granite,Fractured,1.0
TIKM-21-PZ,Granite,Weathered,1.0
TIKM-22-PZ,Granite,Fractured,0.8
TIKM-23-PZ,Granite,Fractured,0.83
TIKM-24-PZ,Granite,Fractured,1.0
TIKMO18-PZ,Granite,Weathered,0.75
TIKMO19-PZ,Granite,Weathered,0.83
TKM001-OW,Granite,Weathered,0.67
TKM002-OW,Granite,Weathered,0.5
TKM003-OW,Granite,Weathered,0.67
TKM004-OW,Granite,Weathered,0.67
TKM005-OW,Granite,Weathered,0.67
TKM006-OW,Granite,Weathered,0.67
TKM007-OW,Granite,Weathered,0.67
TKM008-OW,Granite,Weathered,0.67
TKM009-OW,Granite,Weathered,0.67
TKM010-OW,Granite,Weathered,1.0
TKM011-OW,Granite,Weathered,0.5
TKM012-OW,Granite,Weathered,0.67
TKM013-OW,Granite,Weathered,0.67
TKM014A-OW,Granite,Weathered,0.5
TKM015-OW,Granite,Weathered,0.67
TKM016A-OW,Granite,Weathered,0.5
TKM017-OW,Granite,Weathered,0.67
TKM018-OW,Granite,Weathered,0.67
TKM019-OW,Granite,Weathered,0.67
TKM020-OW,Granite,Weathered,0.5
TKM021-OW,Granite,Weathered,0.67
TKM022A-OW,Granite,Weathered,0.5
TKM023-OW,Granite,Weathered,0.67
TKM024-OW,Granite,Weathered,0.67
TKM025-OW,Granite,Weathered,0.67
TKM026A-OW,Granite,Weathered,0.5
TKM027A-OW,Granite,Weathered,0.67
TKM028-OW,Granite,Weathered,0.67
TKM029-OW,Granite,Weathered,0.5
TKM030-OW,Granite,Weathered,0.67
TKM031-OW,Granite,Weathered,0.67
TKM032-OW,Granite,Weathered,0.67
TKM033A-OW,Granite,Weathered,0.67
TKM034-OW,Granite,Weathered,0.67
TKM035-OW,Granite,Weathered,0.67
TKM036-OW,Granite,Weathered,0.67
TKM037-OW,Granite,Weathered,0.67
TKM038-OW,Granite,Weathered,0.67
TKM039-OW,Granite,Weathered,0.67
TKM040-OW,Granite,Weathered,0.67
TKM041-OW,Granite,Weathered,0.67
TKM042-OW,Granite,Weathered,0.67
TKM043-OW,Granite,Weathered,0.67
TKM044-OW,Granite,Weathered,0.67
TKM045-OW,Granite,Unknown,0.5
TKM046-OW,Granite,Weathered,0.67
TKM047-OW,Granite,Unknown,0.67
TKM048-OW,Granite,Weathered,0.67
TKM049-OW,Granite,Weathered,0.67
TKM050-OW,Granite,Weathered,0.5
TKM051-OW,Granite,Weathered,0.67
TKM052-OW,Granite,Weathered,0.67
TKM053-OW,Granite,Weathered,0.67
TKM054-OW,Granite,Weathered,0.67
TKM055-OW,Granite,Weathered,0.67
TKM056-OW,Granite,Weathered,0.67
TKM057-OW,Granite,Weathered,0.67
TKM058-OW,Granite,Weathered,0.67
TKM059-OW,Granite,Weathered,0.67
TKM060-OW,Granite,Weathered,0.67
TKM061-OW,Granite,Weathered,0.67
TKM062-OW,Granite,Weathered,0.67
TKM063A-OW,Granite,Weathered,0.67
TKM064-OW,Granite,Weathered,0.67
TKM065-OW,Granite,Weathered,0.67
TKM066A-OW,Granite,Weathered,0.67
TKM067-OW,Granite,Weathered,0.67
TKM068-OW,Granite,Weathered,0.67
TKM069A-OW,Granite,Weathered,0.67
TKM070A-OW,Granite,Weathered,0.67
TKM071A-OW,Granite,Weathered,0.67
