Well No,Well Type,District,Tahsil / Taluk,Block / Mandal,Village,Northing,Easting,Elevation of Ground Level,Aquifer Zone,Command Area,Coord Validated,geology_type,aquifer_classification
TIKM011-PZ,Piezometer,Tikamgarh,Jatara,Jatara,Lidhora,25.066111,78.864167,293.3125,,,False,Granite,Weathered
TIKM012-PZ,Piezometer,Tikamgarh,Pirthipur,Pirthipur,Madiya,25.164444,78.738333,302.59,,,False,Granite,Weathered
TIKM013-PZ,Piezometer,Tikamgarh,Nivari,Nivari,Orchha,25.353056,78.636944,293.3125,,,False,Granite,Weathered
TIKM014-PZ,Piezometer,Tikamgarh,Jatara,Jatara,Jatara,25.009722,79.066389,257.07,,,False,Granite,Weathered
TIKM015-PZ,Piezometer,Tikamgarh,Tikamgarh,Tikamgarh,Mabai Khas,25.164444,78.738333,293.3125,,,False,Granite,Weathered
TIKM016-PZ,Piezometer,Tikamgarh,Tikamgarh,Tikamgarh,Tikamgarh,24.750278,78.823889,293.3125,,,False,Granite,Weathered
TIKM017-PZ,Piezometer,Tikamgarh,Baldavgarh,Baldavgarh,Khargapur,24.831111,79.142778,293.3125,,,False,Granite,Weathered
TIKM020-PZ,Piezometer,Tikamgarh,Tikamgarh,Tikamgarh,Badagoan,24.565556,79.028333,293.3125,,,False,Granite,Weathered
TIKM-20-PZ,Piezometer,Tikamgarh,Tikamgarh,Tikamgarh,Para Khas,24.613611,79.01,293.3125,,,False,Granite,Fractured
TIKM-21-PZ,Piezometer,Tikamgarh,Baldavgarh,Baldavgarh,Patori-jagir,24.690556,79.238889,293.3125,,,False,Granite,Weathered
TIKM-22-PZ,Piezometer,Tikamgarh,Baldavgarh,Baldavgarh,Kudila,24.807778,79.223056,291.38,,,False,Granite,Fractured
TIKM-23-PZ,Piezometer,Tikamgarh,Baldavgarh,Baldavgarh,Deri,24.896944,79.258333,293.3125,,,False,Granite,Fractured
TIKM-24-PZ,Piezometer,Tikamgarh,Palera,Palera,Alampur,25.069167,79.310556,293.3125,,,False,Granite,Fractured
TIKMO18-PZ,Piezometer,Tikamgarh,Baldavgarh,Baldavgarh,Baldavgarh,24.428889,79.072222,293.3125,,,False,Granite,Weathered
TIKMO19-PZ,Piezometer,Tikamgarh,Palera,Palera,Palera,25.011111,79.249444,254.1,,,False,Granite,Weathered
TKM001-OW,Observation Well,Tikamgarh,Niwari,Niwari,Jjgora,25.431944,78.666944,213.18,,,False,Granite,Weathered
TKM002-OW,Observation Well,Tikamgarh,Niwari,Niwari,Baghat,25.467778,78.781111,180.625,,,False,Granite,Weathered
TKM003-OW,Observation Well,Tikamgarh,Niwari,Niwari,Orchha,25.351667,78.639722,215.73,,,False,Granite,Weathered
TKM004-OW,Observation Well,Tikamgarh,Niwari,Niwari,Tarichar Kala,25.409444,78.892222,228.995,,,False,Granite,Weathered
TKM005-OW,Observation Well,Tikamgarh,Niwari,Niwari,Sendri,25.523333,78.906389,199.775,,,False,Granite,Weathered
TKM006-OW,Observation Well,Tikamgarh,Prithvipur,Prithvipur,Negowan,25.251944,78.673889,254.96,,,False,Granite,Weathered
TKM007-OW,Observation Well,Tikamgarh,Niwari,Niwari,Niwari,25.347222,78.803056,236.77,,,False,Granite,Weathered
TKM008-OW,Observation Well,Tikamgarh,Niwari,Niwari,Teharka,25.293611,78.921667,261.36,,,False,Granite,Weathered
TKM009-OW,Observation Well,Tikamgarh,Prithvipur,Prithvipur,Jerakhas,25.178889,78.671389,303.995,,,False,Granite,Weathered
TKM010-OW,Observation Well,Tikamgarh,Prithvipur,Prithvipur,Prithvipur,25.2075,78.7575,298.53,,,False,Granite,Weathered
TKM011-OW,Observation Well,Tikamgarh,Prithvipur,Prithvipur,Chomo,25.167778,78.866389,299.51,,,False,Granite,Weathered
TKM012-OW,Observation Well,Tikamgarh,Prithvipur,Prithvipur,Jeron,25.105278,78.666667,295.03,,,False,Granite,Weathered
TKM013-OW,Observation Well,Tikamgarh,Prithvipur,Prithvipur,Berorakhet,25.128889,78.780833,316.02,,,False,Granite,Weathered
TKM014A-OW,Observation Well,Tikamgarh,Prithvipur,Prithvipur,Jewra Mora,25.1025,78.803611,312.0,,,False,Granite,Weathered
TKM015-OW,Observation Well,Tikamgarh,Palera,Palera,Kharon,25.144722,78.925278,281.1,,,False,Granite,Weathered
TKM016A-OW,Observation Well,Tikamgarh,Palera,Palera,Bamhori Kala,25.140833,79.092778,243.0,,,False,Granite,Weathered
TKM017-OW,Observation Well,Tikamgarh,Palera,Palera,Kachhora,25.081389,79.186389,213.68,,,False,Granite,Weathered
TKM018-OW,Observation Well,Tikamgarh,Palera,Palera,Karola,25.100833,79.3225,217.35,,,False,Granite,Weathered
TKM019-OW,Observation Well,Tikamgarh,Jatara,Jatara,Kumheri,25.036111,78.714167,282.0,,,False,Granite,Weathered
TKM020-OW,Observation Well,Tikamgarh,Jatara,Jatara,Bamhori barana,25.065833,78.814722,328.325,,,False,Granite,Weathered
TKM021-OW,Observation Well,Tikamgarh,Jatara,Jatara,Berau,25.0175,78.858333,327.33,,,False,Granite,Weathered
TKM022A-OW,Observation Well,Tikamgarh,Palera,Palera,Sagarwara,25.055278,79.029167,258.39,,,False,Granite,Weathered
TKM023-OW,Observation Well,Tikamgarh,Jatara,Jatara,Jatara,25.009722,79.066389,257.07,,,False,Granite,Weathered
TKM024-OW,Observation Well,Tikamgarh,Palera,Palera,Barana,25.051111,79.127222,243.97,,,False,Granite,Weathered
TKM025-OW,Observation Well,Tikamgarh,Palera,Palera,Palera,25.011111,79.249444,254.1,,,False,Granite,Weathered
TKM026A-OW,Observation Well,Tikamgarh,Jatara,Jatara,Mastapur,24.933611,78.675833,310.0,,,False,Granite,Weathered
TKM027A-OW,Observation Well,Tikamgarh,Jatara,Jatara,Bigrawan,24.974722,78.803611,333.0,,,False,Granite,Weathered
TKM028-OW,Observation Well,Tikamgarh,Jatara,Jatara,Lohargown,24.923889,78.868333,351.35,,,False,Granite,Weathered
TKM029-OW,Observation Well,Tikamgarh,Jatara,Jatara,Vajeetpura,25.012222,79.010556,268.885,,,False,Granite,Weathered
TKM030-OW,Observation Well,Tikamgarh,Palera,Palera,Palli,24.947778,79.131389,348.36,,,False,Granite,Weathered
TKM031-OW,Observation Well,Tikamgarh,Jatara,Jatara,Ramnagar,24.867222,78.83,340.595,,,False,Granite,Weathered
TKM032-OW,Observation Well,Tikamgarh,Jatara,Jatara,Ramgarh,24.902778,78.983056,262.965,,,False,Granite,Weathered
TKM033A-OW,Observation Well,Tikamgarh,Baldevgarh,Baldevgarh,Shiv Nagar,24.874444,79.188611,272.85,,,False,Granite,Weathered
TKM034-OW,Observation Well,Tikamgarh,Baldevgarh,Baldevgarh,Deri,24.896944,79.258333,260.21,,,False,Granite,Weathered
TKM035-OW,Observation Well,Tikamgarh,Tikamgarh,Tikamgarh,Babri,24.833333,78.837222,339.78,,,False,Granite,Weathered
TKM036-OW,Observation Well,Tikamgarh,Tikamgarh,Tikamgarh,Badoraghat,24.800556,78.799167,335.57,,,False,Granite,Weathered
TKM037-OW,Observation Well,Tikamgarh,Tikamgarh,Tikamgarh,Mawai khas,25.096944,79.165833,317.79,,,False,Granite,Weathered
TKM038-OW,Observation Well,Tikamgarh,Baldevgarh,Baldevgarh,Baldevgarh,24.762222,79.072222,324.89,,,False,Granite,Weathered
TKM039-OW,Observation Well,Tikamgarh,Baldevgarh,Baldevgarh,Khargapur,24.831111,79.142778,297.34,,,False,Granite,Weathered
TKM040-OW,Observation Well,Tikamgarh,Baldevgarh,Baldevgarh,Heerapur,24.7675,79.251944,274.05,,,False,Granite,Weathered
TKM041-OW,Observation Well,Tikamgarh,Tikamgarh,Tikamgarh,Ganesh Ganj,24.721389,78.807222,362.385,,,False,Granite,Weathered
TKM042-OW,Observation Well,Tikamgarh,Tikamgarh,Tikamgarh,Tikamgarh,24.750278,78.823889,356.93,,,False,Granite,Weathered
TKM043-OW,Observation Well,Tikamgarh,Tikamgarh,Tikamgarh,Sundarpur,24.693333,78.935278,359.465,,,False,Granite,Weathered
TKM044-OW,Observation Well,Tikamgarh,Baldevgarh,Baldevgarh,Surajpur,25.218056,78.653611,329.5,,,False,Granite,Weathered
TKM045-OW,Observation Well,Tikamgarh,Baldevgarh,Baldevgarh,Patoree,24.690556,79.238889,297.94,,,False,Granite,Unknown
TKM046-OW,Observation Well,Tikamgarh,Tikamgarh,Tikamgarh,Karmarai,24.642778,78.784444,350.765,,,False,Granite,Weathered
TKM047-OW,Observation Well,Tikamgarh,Tikamgarh,Tikamgarh,Amarpur,24.608611,78.983333,350.0,,,False,Granite,Unknown
TKM048-OW,Observation Well,Tikamgarh,Tikamgarh,Tikamgarh,Nagara,24.6525,79.0075,329.81,,,False,Granite,Weathered
